GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Quintile Upper Limits: - Lowest Quintile,Margin of Error; Quintile Upper Limits: - Lowest Quintile,Estimate; Quintile Upper Limits: - Second Quintile,Margin of Error; Quintile Upper Limits: - Second Quintile,Estimate; Quintile Upper Limits: - Third Quintile,Margin of Error; Quintile Upper Limits: - Third Quintile,Estimate; Quintile Upper Limits: - Fourth Quintile,Margin of Error; Quintile Upper Limits: - Fourth Quintile,Estimate; Lower Limit of Top 5 Percent,Margin of Error; Lower Limit of Top 5 Percent
0500000US01001,01001,"Autauga County, Alabama",22695,2540,40531,2175,63889,3195,97896,5060,156000,14195
0500000US01003,01003,"Baldwin County, Alabama",22065,943,40060,1397,62015,2073,99839,3063,181609,9381
0500000US01005,01005,"Barbour County, Alabama",12766,1153,24771,1845,41178,2180,71011,4907,121380,10430
0500000US01007,01007,"Bibb County, Alabama",18287,2014,32193,2098,47745,4142,78138,7524,126421,10651
0500000US01009,01009,"Blount County, Alabama",20679,1424,35838,1776,57441,2876,83484,3935,130563,6064
0500000US01011,01011,"Bullock County, Alabama",10544,2184,24887,3542,42069,3921,63721,5879,119202,28793
0500000US01013,01013,"Butler County, Alabama",14026,1088,24918,1716,40969,2998,68308,4435,116233,6337
0500000US01015,01015,"Calhoun County, Alabama",16369,895,32368,1110,51632,1057,79864,3390,136690,4641
0500000US01017,01017,"Chambers County, Alabama",14919,1005,27240,2038,43263,2567,71126,3744,120663,6324
0500000US01019,01019,"Cherokee County, Alabama",15777,1499,28970,1816,45655,3545,76254,3716,132192,10584
0500000US01021,01021,"Chilton County, Alabama",18704,2095,33440,1783,52487,3895,83220,2362,137685,7909
0500000US01023,01023,"Choctaw County, Alabama",11785,1180,24489,3290,43973,3823,76656,4608,129673,17308
0500000US01025,01025,"Clarke County, Alabama",9637,1627,23766,1769,42455,4236,77930,6611,121053,7491
