GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC08,Total; Estimate; Population 25 years and over
HC01_MOE_VC08,Total; Margin of Error; Population 25 years and over
HC01_EST_VC09,Total; Estimate; Population 25 years and over - Less than 9th grade
HC01_MOE_VC09,Total; Margin of Error; Population 25 years and over - Less than 9th grade
HC01_EST_VC10,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma"
HC01_MOE_VC10,"Total; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma"
HC01_EST_VC11,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency)
HC01_MOE_VC11,Total; Margin of Error; Population 25 years and over - High school graduate (includes equivalency)
HC01_EST_VC12,"Total; Estimate; Population 25 years and over - Some college, no degree"
HC01_MOE_VC12,"Total; Margin of Error; Population 25 years and over - Some college, no degree"
HC01_EST_VC13,Total; Estimate; Population 25 years and over - Associate's degree
HC01_MOE_VC13,Total; Margin of Error; Population 25 years and over - Associate's degree
HC01_EST_VC14,Total; Estimate; Population 25 years and over - Bachelor's degree
HC01_MOE_VC14,Total; Margin of Error; Population 25 years and over - Bachelor's degree
HC01_EST_VC15,Total; Estimate; Population 25 years and over - Graduate or professional degree
HC01_MOE_VC15,Total; Margin of Error; Population 25 years and over - Graduate or professional degree
