GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03
Id,Id2,Geography,Id,Population Group,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Percent Margin of Error; SEX AND AGE - Total population
0500000US01001,01001,"Autauga County, Alabama",002,White alone,42741,428,42741,(X)
0500000US01001,01001,"Autauga County, Alabama",004,Black or African American alone,10315,254,10315,(X)
0500000US01003,01003,"Baldwin County, Alabama",002,White alone,168646,727,168646,(X)
0500000US01003,01003,"Baldwin County, Alabama",004,Black or African American alone,18735,577,18735,(X)
0500000US01003,01003,"Baldwin County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",1166,343,1166,(X)
0500000US01003,01003,"Baldwin County, Alabama",012,Asian alone (400-499),1307,329,1307,(X)
0500000US01003,01003,"Baldwin County, Alabama",070,Some other race alone,1870,676,1870,(X)
0500000US01005,01005,"Barbour County, Alabama",002,White alone,12756,239,12756,(X)
0500000US01005,01005,"Barbour County, Alabama",004,Black or African American alone,12595,205,12595,(X)
0500000US01005,01005,"Barbour County, Alabama",070,Some other race alone,928,283,928,(X)
0500000US01007,01007,"Bibb County, Alabama",002,White alone,17327,15,17327,(X)
0500000US01007,01007,"Bibb County, Alabama",004,Black or African American alone,4846,232,4846,(X)
0500000US01009,01009,"Blount County, Alabama",002,White alone,54881,325,54881,(X)
0500000US01009,01009,"Blount County, Alabama",004,Black or African American alone,884,117,884,(X)
0500000US01011,01011,"Bullock County, Alabama",002,White alone,2845,482,2845,(X)
0500000US01011,01011,"Bullock County, Alabama",004,Black or African American alone,7550,504,7550,(X)
0500000US01013,01013,"Butler County, Alabama",002,White alone,11023,83,11023,(X)
0500000US01013,01013,"Butler County, Alabama",004,Black or African American alone,8961,101,8961,(X)
0500000US01015,01015,"Calhoun County, Alabama",002,White alone,87615,439,87615,(X)
0500000US01015,01015,"Calhoun County, Alabama",004,Black or African American alone,23895,437,23895,(X)
0500000US01015,01015,"Calhoun County, Alabama",012,Asian alone (400-499),1000,142,1000,(X)
0500000US01015,01015,"Calhoun County, Alabama",070,Some other race alone,1162,424,1162,(X)
0500000US01017,01017,"Chambers County, Alabama",002,White alone,19652,84,19652,(X)
0500000US01017,01017,"Chambers County, Alabama",004,Black or African American alone,13738,169,13738,(X)
0500000US01019,01019,"Cherokee County, Alabama",002,White alone,24167,64,24167,(X)
0500000US01019,01019,"Cherokee County, Alabama",004,Black or African American alone,1281,131,1281,(X)
0500000US01021,01021,"Chilton County, Alabama",002,White alone,36828,470,36828,(X)
0500000US01021,01021,"Chilton County, Alabama",004,Black or African American alone,4528,109,4528,(X)
0500000US01021,01021,"Chilton County, Alabama",070,Some other race alone,1805,470,1805,(X)
0500000US01023,01023,"Choctaw County, Alabama",002,White alone,7487,5,7487,(X)
0500000US01023,01023,"Choctaw County, Alabama",004,Black or African American alone,5801,65,5801,(X)
0500000US01025,01025,"Clarke County, Alabama",002,White alone,13427,48,13427,(X)
0500000US01025,01025,"Clarke County, Alabama",004,Black or African American alone,11346,187,11346,(X)
0500000US01027,01027,"Clay County, Alabama",002,White alone,11065,124,11065,(X)
0500000US01027,01027,"Clay County, Alabama",004,Black or African American alone,1963,153,1963,(X)
0500000US01029,01029,"Cleburne County, Alabama",002,White alone,14098,112,14098,(X)
0500000US01031,01031,"Coffee County, Alabama",002,White alone,39067,230,39067,(X)
0500000US01031,01031,"Coffee County, Alabama",004,Black or African American alone,8829,228,8829,(X)
0500000US01031,01031,"Coffee County, Alabama",006,"American Indian and Alaska Native alone (300, A01-Z99)",475,123,475,(X)
